Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,89.125153,92.028625,88.698174,91.117729,82.776329,5839441
2017-03-28,90.904236,93.110306,90.406097,92.512535,84.043442,5968791
2017-03-29,91.487778,92.071320,91.174660,91.687035,83.887161,2717897
2017-03-30,91.630104,91.900528,91.075027,91.345451,83.574638,3253354
2017-03-31,91.046562,91.174660,90.406097,90.434563,82.741234,4663979
2017-04-03,90.477257,90.776146,88.669708,89.751389,82.116180,3936007
2017-04-04,89.751389,90.021812,89.068222,89.950645,82.298477,3573883
2017-04-05,90.349167,91.701271,90.178368,90.406097,82.715187,4435350
2017-04-06,90.377632,91.089264,90.178368,90.534187,82.832390,2679323
2017-04-07,90.278000,90.477257,89.808319,89.936417,82.285461,1899570
2017-04-10,89.893715,90.292236,89.708694,90.050278,82.389656,2798837
2017-04-11,89.737160,89.851021,88.755104,88.940125,81.373947,3445025
2017-04-12,89.295944,89.295944,87.943840,88.128860,80.631683,3470038
2017-04-13,87.815742,87.829979,86.862152,86.904854,79.511803,3918723
2017-04-17,87.032944,87.901138,86.634430,87.858444,80.384277,3392821
2017-04-18,87.673416,88.071930,86.990250,87.502625,80.058716,3111989
2017-04-19,87.929604,88.143097,87.274902,87.602257,80.149887,3311881
2017-04-20,88.029236,88.954361,87.516853,88.157326,80.657738,3574586
2017-04-21,88.100395,88.698174,87.815742,88.470451,80.944221,4100558
2017-04-24,89.139381,89.936417,89.110916,89.409805,81.803665,3466455
2017-04-25,91.060799,92.384438,90.818840,92.242111,84.395012,5436355
2017-04-26,91.815132,92.341743,91.331223,91.558945,83.769966,3301904
2017-04-27,91.131966,91.388153,89.680229,89.936417,82.285461,4896893
